Market,Brand,Model,Body_Type,Fuel_Type,Year,Available_Date,Dealer,City,Province,Type,Version,Ext_Color,Int_Color,RRP_EUR,Monthly_EUR,APR_pct,Availability,Engine_Raw,URL
ES,Audi,A5,SEDAN,ICE,2026.0,2026-06-08,"F- TOME, S- A",Madrid,Madrid,Nuevo,1,Gris Daytona Efecto Perla,,62196.5,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAxNjgwMjA4NDg0LTIwMjU=
ES,Audi,A5,SEDAN,ICE,2025.0,2026-06-08,MENAI,Eibar,,Nuevo,4,Azul Firmamento Metalizado,,62205.47,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzA1NjgwMDYwMTk4LTIwMjU=
ES,Audi,Q4 Sportback e-tron,SAV,BEV,2026.0,2026-06-08,VGRS HUELVA-SEVILLA,Sevilla,Sevilla,Nuevo,1,Negro Mito Metalizado,,62206.56,,,soon,Eléctrico,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0MzEwMDAxMzA5LTIwMjY=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,"F- TOME, S- A",Madrid,Madrid,Nuevo,3,Azul Horizonte Metalizado,,62207.36,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAxNjgwMTg5OTA1LTIwMjU=
ES,Audi,A5,SEDAN,ICE,2026.0,2026-06-08,QUADIS MARZÁ,Castellón de la Plana,Castellón,Nuevo,1,Gris Daytona Efecto Perla,,62220.58,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAyMjUwMDAyNzkwLTIwMjY=
ES,Audi,A5,SEDAN,ICE,2026.0,2026-06-08,"GARAJE DALMAU, S-A",Lleida,Lleida,Nuevo,1,Negro Mito Metalizado,,62238.05,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0MTEwMDA4NzU2LTIwMjY=
ES,Audi,A5 e-hybrid,SEDAN,PHEV,2026.0,2026-06-08,TELENAUTO,Trobajo del Camino,,Nuevo,2,Rojo Granadina Metalizado,,62256.2,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAyMTgwMDA4OTU0LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,VGRS HUELVA-SEVILLA,Sevilla,Sevilla,Nuevo,,V6,,62286.29,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA0MzEwMTk0Mzc1LTIwMjU=
ES,Audi,A5 Avant e-hybrid,ESTATE,PHEV,2025.0,2026-06-08,A-V-I-S-A,Sevilla,Sevilla,Nuevo,3,Azul Horizonte Metalizado,,62294.23,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDQ1NjEwMTI4OTIzLTIwMjU=
ES,Audi,A5,SEDAN,ICE,2026.0,2026-06-08,A-V-I-S-A,Sevilla,Sevilla,Nuevo,1,Gris Daytona Efecto Perla,,62318.2,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDQ1NjEwMDQ4NzMwLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"TUDAUTO, S-L",Tudela,Navarra,Nuevo,,6Y,,62321.33,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA1NTcwMDM0OTM0LTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,SEALCO MOTOR,Alcorcón,Madrid,Nuevo,,1X,,62321.33,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzMDgwMDQxOTMyLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"SOLERA MOTOR, S-A",Jerez de la Frontera,Cádiz,Nuevo,,N7,,62326.11,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAyMTcwMDA5MTgyLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"SOLERA MOTOR, S-A",Jerez de la Frontera,Cádiz,Nuevo,,0E,,62326.11,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDAyMTcwMDA5MTgzLTIwMjY=
ES,Audi,A5 e-hybrid,SEDAN,PHEV,2026.0,2026-06-08,VGRS MADRID,Madrid,Madrid,Nuevo,2,Blanco Arkona,,62344.0,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA4NjkwMDE1OTIwLTIwMjY=
ES,Audi,Q3 Sportback e-hybrid,SAV,PHEV,2026.0,2026-06-08,"MEDEA MOTOR, S-L",Palma de Mallorca,Baleares,Nuevo,,6Y,,62361.38,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDEwMDEwMjAwMDU0LTIwMjU=
ES,Audi,A5 Avant,ESTATE,ICE,2025.0,2026-06-08,SEALCO MOTOR,Alcorcón,Madrid,Nuevo,4,Negro Mito Metalizado,,62370.36,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzMDgwMDcwMDU0LTIwMjQ=
ES,Audi,Q3 SUV e-hybrid,SAV,PHEV,2026.0,2026-06-08,QUADIS MOTORSOL,Sant Boi De Llobregat,,Nuevo,1,Rojo Progressive Metalizado,,62375.22,,,soon,Híbrido,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMzAzODQwMTY3MTU2LTIwMjU=
ES,Audi,A5,SEDAN,ICE,2026.0,2026-06-08,VGRS BARCELONA,Barcelona,Barcelona,Nuevo,1,Blanco Glaciar Metalizado,,62375.53,,,soon,Diésel,https://entry.audi.com/entry?country=es&language=es&ctx=aesnwb&id=RVNQMDA4NzIwMDMxNzY4LTIwMjY=
